Topic,uri,ms,
993,0228IbnHammadKhuzaci.Fitan.Shia003470-ara1,317,
268,0230IbnSacd.TabaqatKubra.Shamela0001686-ara1,1348,Bio of Salama b. Hisham
1077,0235IbnAbiShayba.Musannaf.JK000786-ara1,644,
755,0235IbnAbiShayba.Musnad.JK007049-ara1,49,
55,0279Baladhuri.AnsabAshraf.Shamela0009773-ara1,3183,Genealogy of tribe afflicted by the famine
424,0310Tabari.JamicBayan.Shamela0007798-ara1,2240,
540,0310Tabari.JamicBayan.Shamela0007798-ara1,2240,
55,0310Tabari.JamicBayan.Shamela0007798-ara1,8219,
755,0310Tabari.JamicBayan.Shamela0007798-ara1,8220,
55,0400IbnTahirMaqdisi.BadWaTarikh.Shamela0012318-ara1,468,
55,0427AbuIshaqThaclabi.KashfWaBayan.Shamela0023578-ara1,660,
55,0427AbuIshaqThaclabi.KashfWaBayan.Shamela0023578-ara1,2141,
55,0427AbuIshaqThaclabi.KashfWaBayan.Shamela0023578-ara1,2830,
755,0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,104,
306,0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,889,
1077,0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,889,
827,0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,906,
540,0509IbnShahridarDaylami.Firdaws.JK001297-ara1,142,
993,0535QawwamSunna.DalailNubuwwa.JK000657-ara1,60,Context for al-Dukhan verse - both under broader context of predicting future - related to Ibrahim
306,0535QawwamSunna.DalailNubuwwa.JK000657-ara1,65,Longer Hadith - context not clear
268,0535QawwamSunna.SiyarSalaf.Shamela0021493-ara1,223,Bio of Ayash b. Abi Rabia - non-Yusuf variant at ms249 under bio of Walid b. Walid
268,0571IbnCasakir.MucjamShuyukh.Shamela0012750-ara1,532,
268,0571IbnCasakir.TarikhDimashq.JK000916-ara1,8305,Bio of Salama b. Hisham
268,0571IbnCasakir.TarikhDimashq.JK000916-ara1,8305,Bio of Salama b. Hisham
268,0571IbnCasakir.TarikhDimashq.JK000916-ara1,8305,Bio of Salama b. Hisham
268,0571IbnCasakir.TarikhDimashq.JK000916-ara1,18637,Bio of Ayash b. Abi Rabia
424,0571IbnCasakir.TarikhDimashq.JK000916-ara1,18637,Bio of Ayash b. Abi Rabia
424,0571IbnCasakir.TarikhDimashq.JK000916-ara1,18638,Bio of Ayash b. Abi Rabia
540,0571IbnCasakir.TarikhDimashq.JK000916-ara1,24843,Bio of someone in transmission chain - example hadith
55,0600AbuBaqaHilli.ManaqibMazyadiyya.JK009228-ara1,16,Bio of Qaws Hajib b. Zirara and narrative of yawm bi'r maona (linked to curse) - Tabari's narrative ms0926 - not linked to curse
55,0685IbnSacidMaghribi.NashwatTarab.Shamela0028174-ara1,115,History of  Mudar
424,0711IbnManzurIfriqi.MukhtasarTarikhDimashq.Shamela0003118-ara1,2698,Bio of Salama b. Hisham
1077,0711IbnManzurIfriqi.MukhtasarTarikhDimashq.Shamela0003118-ara1,5368,Bio of Ayash b. Abi Rabia
